aircraft,manoeuvre,setting,fault,recall,precision,auc,base_score
737,throttle_step,det_lags_long,cmq_x0.5,0.46153846153846156,1.0,0.9145299145299146,7.061620281915273
737,throttle_step,det_lags_long,cmalpha_x0.7,0.15384615384615385,1.0,0.8461538461538461,7.061620281915273
737,throttle_step,det_lags_long,clo_+0.1,0.8461538461538461,0.55,0.6752136752136753,7.061620281915273
737,throttle_step,det_5hz,inertia_x1.6,0.09090909090909091,1.0,,7.749947473812898
737,throttle_step,det_5hz,cmq_x0.5,0.46153846153846156,1.0,0.9487179487179487,7.749947473812898
737,throttle_step,det_5hz,cmalpha_x0.7,0.23076923076923078,1.0,0.8803418803418804,7.749947473812898
737,throttle_step,det_5hz,clo_+0.1,0.7692307692307693,0.5263157894736842,0.7521367521367521,7.749947473812898
737,throttle_step,det_2hz,inertia_x1.6,0.09090909090909091,1.0,,6.539360236364448
737,throttle_step,det_2hz,cmq_x0.5,0.38461538461538464,1.0,0.9572649572649572,6.539360236364448
737,throttle_step,det_2hz,cmalpha_x0.7,0.23076923076923078,1.0,0.9145299145299146,6.539360236364448
737,throttle_step,det_2hz,clo_+0.1,0.8461538461538461,0.5789473684210527,0.6581196581196582,6.539360236364448
737,throttle_step,sig_K3,inertia_x1.6,0.0,,,0.17847148691574646
737,throttle_step,sig_K3,cmq_x0.5,0.3076923076923077,1.0,0.5982905982905983,0.17847148691574646
737,throttle_step,sig_K3,cmalpha_x0.7,0.07692307692307693,1.0,0.45299145299145305,0.17847148691574646
737,throttle_step,sig_K3,clo_+0.1,0.38461538461538464,0.8333333333333334,0.6153846153846154,0.17847148691574646
737,throttle_step,sig_K5,inertia_x1.6,0.13636363636363635,1.0,,0.23572454999243678
737,throttle_step,sig_K5,cmq_x0.5,0.23076923076923078,0.75,0.6666666666666667,0.23572454999243678
737,throttle_step,sig_K5,cmalpha_x0.7,0.38461538461538464,0.7142857142857143,0.5641025641025641,0.23572454999243678
737,throttle_step,sig_K5,clo_+0.1,0.38461538461538464,0.7142857142857143,0.6239316239316239,0.23572454999243678
737,throttle_step,sig_K7,inertia_x1.6,0.09090909090909091,1.0,,0.3192936015731356
737,throttle_step,sig_K7,cmq_x0.5,0.3076923076923077,1.0,0.905982905982906,0.3192936015731356
737,throttle_step,sig_K7,cmalpha_x0.7,0.3076923076923077,1.0,0.7008547008547009,0.3192936015731356
737,throttle_step,sig_K7,clo_+0.1,0.5384615384615384,0.5833333333333334,0.7692307692307694,0.3192936015731356
737,throttle_step,sig_leaf50,inertia_x1.6,0.0,,,0.24360913628800482
737,throttle_step,sig_leaf50,cmq_x0.5,0.3076923076923077,1.0,0.7692307692307693,0.24360913628800482
737,throttle_step,sig_leaf50,cmalpha_x0.7,0.23076923076923078,1.0,0.6068376068376069,0.24360913628800482
737,throttle_step,sig_leaf50,clo_+0.1,0.3076923076923077,0.8,0.6153846153846154,0.24360913628800482
737,throttle_step,sig_n10,inertia_x1.6,0.045454545454545456,1.0,,0.2789819996974739
737,throttle_step,sig_n10,cmq_x0.5,0.23076923076923078,1.0,0.7863247863247863,0.2789819996974739
737,throttle_step,sig_n10,cmalpha_x0.7,0.07692307692307693,1.0,0.7606837606837606,0.2789819996974739
737,throttle_step,sig_n10,clo_+0.1,0.15384615384615385,0.6666666666666666,0.7435897435897436,0.2789819996974739
737,throttle_step,sig_lags_1,inertia_x1.6,0.09090909090909091,1.0,,0.2576576917259114
737,throttle_step,sig_lags_1,cmq_x0.5,0.3076923076923077,1.0,0.641025641025641,0.2576576917259114
737,throttle_step,sig_lags_1,cmalpha_x0.7,0.3076923076923077,0.8,0.6666666666666666,0.2576576917259114
737,throttle_step,sig_lags_1,clo_+0.1,0.38461538461538464,0.8333333333333334,0.5641025641025641,0.2576576917259114
737,throttle_step,sig_lags_long,inertia_x1.6,0.13636363636363635,1.0,,0.23815988504008467
737,throttle_step,sig_lags_long,cmq_x0.5,0.38461538461538464,0.8333333333333334,0.5982905982905984,0.23815988504008467
737,throttle_step,sig_lags_long,cmalpha_x0.7,0.23076923076923078,0.75,0.5042735042735043,0.23815988504008467
737,throttle_step,sig_lags_long,clo_+0.1,0.38461538461538464,0.7142857142857143,0.5641025641025641,0.23815988504008467
737,throttle_step,sig_equal_width,inertia_x1.6,0.045454545454545456,1.0,,0.20055589169565877
737,throttle_step,sig_equal_width,cmq_x0.5,0.3076923076923077,1.0,0.5470085470085471,0.20055589169565877
737,throttle_step,sig_equal_width,cmalpha_x0.7,0.07692307692307693,1.0,0.3717948717948718,0.20055589169565877
737,throttle_step,sig_equal_width,clo_+0.1,0.6153846153846154,0.6153846153846154,0.8461538461538461,0.20055589169565877
737,throttle_step,sig_5hz,inertia_x1.6,0.09090909090909091,1.0,,0.23531410450015108
737,throttle_step,sig_5hz,cmq_x0.5,0.3076923076923077,1.0,0.6837606837606837,0.23531410450015108
737,throttle_step,sig_5hz,cmalpha_x0.7,0.46153846153846156,1.0,0.6324786324786325,0.23531410450015108
737,throttle_step,sig_5hz,clo_+0.1,0.38461538461538464,0.8333333333333334,0.717948717948718,0.23531410450015108
737,throttle_step,sig_2hz,inertia_x1.6,0.0,,,0.24752066115702478
737,throttle_step,sig_2hz,cmq_x0.5,0.38461538461538464,1.0,0.7606837606837606,0.24752066115702478
737,throttle_step,sig_2hz,cmalpha_x0.7,0.3076923076923077,1.0,0.5384615384615384,0.24752066115702478
737,throttle_step,sig_2hz,clo_+0.1,0.38461538461538464,0.8333333333333334,0.7435897435897436,0.24752066115702478
737,elev_doublet,det_n10,inertia_x1.6,0.2727272727272727,1.0,,63.14939102079418
737,elev_doublet,det_n10,cmq_x0.5,0.5384615384615384,1.0,0.6068376068376068,63.14939102079418
737,elev_doublet,det_n10,cmalpha_x0.7,0.38461538461538464,1.0,0.7350427350427351,63.14939102079418
737,elev_doublet,det_n10,clo_+0.1,0.6923076923076923,0.6923076923076923,0.4957264957264958,63.14939102079418
737,elev_doublet,det_n20,inertia_x1.6,0.36363636363636365,1.0,,26.666156903377
737,elev_doublet,det_n20,cmq_x0.5,0.46153846153846156,0.75,0.5555555555555556,26.666156903377
737,elev_doublet,det_n20,cmalpha_x0.7,0.38461538461538464,0.625,0.5384615384615385,26.666156903377
737,elev_doublet,det_n20,clo_+0.1,0.7692307692307693,0.7142857142857143,0.5641025641025641,26.666156903377
737,elev_doublet,det_n5,inertia_x1.6,0.3181818181818182,1.0,,92.9015834761461
737,elev_doublet,det_n5,cmq_x0.5,0.38461538461538464,1.0,0.6153846153846154,92.9015834761461
737,elev_doublet,det_n5,cmalpha_x0.7,0.3076923076923077,1.0,0.5213675213675213,92.9015834761461
737,elev_doublet,det_n5,clo_+0.1,0.6923076923076923,0.6,0.47863247863247865,92.9015834761461
737,elev_doublet,det_lags_1,inertia_x1.6,0.36363636363636365,1.0,,23.175213239120605
737,elev_doublet,det_lags_1,cmq_x0.5,0.38461538461538464,0.8333333333333334,0.5555555555555556,23.175213239120605
737,elev_doublet,det_lags_1,cmalpha_x0.7,0.38461538461538464,0.625,0.49572649572649574,23.175213239120605
737,elev_doublet,det_lags_1,clo_+0.1,0.6923076923076923,0.6923076923076923,0.5470085470085471,23.175213239120605
737,elev_doublet,det_lags_long,inertia_x1.6,0.36363636363636365,1.0,,27.358950743515525
737,elev_doublet,det_lags_long,cmq_x0.5,0.38461538461538464,0.7142857142857143,0.5641025641025641,27.358950743515525
737,elev_doublet,det_lags_long,cmalpha_x0.7,0.38461538461538464,0.625,0.5384615384615384,27.358950743515525
737,elev_doublet,det_lags_long,clo_+0.1,0.7692307692307693,0.6666666666666666,0.52991452991453,27.358950743515525
737,elev_doublet,det_5hz,inertia_x1.6,0.36363636363636365,1.0,,24.82314316238304
737,elev_doublet,det_5hz,cmq_x0.5,0.38461538461538464,0.7142857142857143,0.5641025641025641,24.82314316238304
737,elev_doublet,det_5hz,cmalpha_x0.7,0.38461538461538464,0.625,0.5555555555555556,24.82314316238304
737,elev_doublet,det_5hz,clo_+0.1,0.6923076923076923,0.6923076923076923,0.5042735042735043,24.82314316238304
737,elev_doublet,det_2hz,inertia_x1.6,0.3181818181818182,1.0,,16.70442185297635
737,elev_doublet,det_2hz,cmq_x0.5,0.38461538461538464,0.8333333333333334,0.5384615384615384,16.70442185297635
737,elev_doublet,det_2hz,cmalpha_x0.7,0.15384615384615385,0.5,0.5384615384615384,16.70442185297635
737,elev_doublet,det_2hz,clo_+0.1,0.5384615384615384,0.6363636363636364,0.5213675213675214,16.70442185297635
737,elev_doublet,sig_K3,inertia_x1.6,0.0,,,0.43110842645726366
