aircraft,manoeuvre,method,fault,n_outputs,n_oracle,recall_at3,recall_at5,ap,inspect_before_first,top_is_affected,n_flagged,any_correct_flag,reduction
B747,elev_doublet_distractor,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,7,True,0.6818181818181819
B747,elev_doublet_distractor,sig_dynamic,clo_+0.1,22,13,0.23076923076923078,0.23076923076923078,0.6134856242828379,1,True,5,True,0.7727272727272727
B747,elev_doublet_distractor,sig_dynamic,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.8609345782422705,1,True,6,True,0.7272727272727273
B747,elev_doublet_distractor,sig_dynamic,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8223833858449244,1,True,2,True,0.9090909090909091
B747,elev_doublet_distractor,sig_dynamic,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,5,True,0.7727272727272727
B747,elev_doublet_distractor,sig_static,clo_+0.1,22,13,0.07692307692307693,0.07692307692307693,0.4795230057048347,1,True,6,True,0.7272727272727273
B747,elev_doublet_distractor,sig_static,cmalpha_x0.7,22,13,0.15384615384615385,0.23076923076923078,0.7292762792762792,1,True,8,True,0.6363636363636364
B747,elev_doublet_distractor,sig_static,cmq_x0.5,22,13,0.15384615384615385,0.23076923076923078,0.5709276834276834,2,False,2,True,0.9090909090909091
B747,elev_doublet_distractor,sig_static,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,2,True,0.9090909090909091
B747,elev_step,envelope,clo_+0.1,22,13,0.15384615384615385,0.23076923076923078,0.6342894222419109,1,True,10,True,0.5454545454545454
B747,elev_step,envelope,cmalpha_x0.7,22,13,0.07692307692307693,0.23076923076923078,0.6159782468992995,1,True,16,True,0.2727272727272727
B747,elev_step,envelope,cmq_x0.5,22,13,0.23076923076923078,0.3076923076923077,0.7144954348395642,1,True,14,True,0.36363636363636365
B747,elev_step,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,9,True,0.5909090909090908
B747,elev_step,iforest,clo_+0.1,22,13,0.15384615384615385,0.15384615384615385,0.6084625411369874,1,True,22,True,0.0
B747,elev_step,iforest,cmalpha_x0.7,22,13,0.15384615384615385,0.15384615384615385,0.6020820682585387,1,True,22,True,0.0
B747,elev_step,iforest,cmq_x0.5,22,13,0.15384615384615385,0.23076923076923078,0.6810957142405106,1,True,0,False,1.0
B747,elev_step,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
B747,elev_step,ks,clo_+0.1,22,13,0.07692307692307693,0.23076923076923078,0.6421655267809114,3,False,6,True,0.7272727272727273
B747,elev_step,ks,cmalpha_x0.7,22,13,0.07692307692307693,0.23076923076923078,0.5849307013274625,1,True,6,True,0.7272727272727273
B747,elev_step,ks,cmq_x0.5,22,13,0.23076923076923078,0.3076923076923077,0.8097829071513283,1,True,4,True,0.8181818181818181
B747,elev_step,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
B747,elev_step,regression,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8625097125097125,1,True,15,True,0.31818181818181823
