aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,gated_cat,gated_auc,false_alarm
J3Cub,aileron_step,cmq_x0.5,7,0.706,3.7,6.0,0.31/0.57,0.80/1.00,0.65,0.17/0.14,1.00/0.75,0.33,
J3Cub,aileron_step,cmalpha_x0.7,1,0.706,1.35,3.0,0.00/0.00,0.20/1.00,0.28,0.00/0.00,0.00/0.00,0.46,
J3Cub,aileron_step,clo_+0.1,19,0.706,1.92,2.0,0.85/0.58,0.80/1.00,0.74,1.00/0.11,1.00/0.50,1.0,
J3Cub,aileron_step,noop,1,0.706,,,,,,,,,0.05
J3Cub,rudder_doublet,cmq_x0.5,5,0.647,1.92,3.0,0.08/0.20,0.60/1.00,0.2,0.00/0.00,1.00/0.67,0.35,
J3Cub,rudder_doublet,cmalpha_x0.7,9,0.647,1.53,3.0,0.23/0.33,0.40/1.00,0.16,0.33/0.11,0.50/0.50,0.37,
J3Cub,rudder_doublet,clo_+0.1,13,0.647,2.76,3.0,0.54/0.54,0.60/1.00,0.46,0.33/0.08,0.67/0.67,0.12,
J3Cub,rudder_doublet,noop,2,0.647,,,,,,,,,0.09
J3Cub,bank_hold,cmq_x0.5,5,0.682,2.13,6.0,0.23/0.60,0.80/1.00,0.53,0.17/0.20,0.67/0.50,0.43,
J3Cub,bank_hold,cmalpha_x0.7,9,0.682,1.6,6.0,0.31/0.44,0.80/1.00,0.46,0.00/0.00,0.67/0.50,0.3,
J3Cub,bank_hold,clo_+0.1,16,0.682,2.11,3.0,0.62/0.50,0.80/1.00,0.5,0.00/0.00,1.00/0.50,0.02,
J3Cub,bank_hold,noop,2,0.682,,,,,,,,,0.09
J3Cub,flap_extend,cmq_x0.5,9,0.542,1.53,3.0,0.31/0.44,0.60/1.00,0.35,0.67/0.22,1.00/0.67,0.61,
J3Cub,flap_extend,cmalpha_x0.7,15,0.542,2.04,1.0,0.54/0.47,0.80/1.00,0.45,1.00/0.07,1.00/0.25,0.67,
J3Cub,flap_extend,clo_+0.1,13,0.542,2.56,3.0,0.62/0.62,0.80/1.00,0.67,1.00/0.23,1.00/0.75,0.63,
J3Cub,flap_extend,noop,7,0.542,,,,,,,,,0.32
J3Cub,climbing_turn,cmq_x0.5,16,0.594,2.68,4.0,0.62/0.50,0.80/1.00,0.34,0.50/0.12,1.00/0.75,0.08,
J3Cub,climbing_turn,cmalpha_x0.7,8,0.594,1.69,4.0,0.38/0.62,0.40/1.00,0.63,0.00/0.00,0.33/0.50,0.25,
