aircraft,manoeuvre,config,base_vsd,thr,inertia_x1.6,cmq_x0.5,cmalpha_x0.7,clo_+0.1,noop_fa,noop
737,climbing_turn,since,0.318,0.083,0.00/0.00 cat 0.00 auc nan,0.15/1.00 cat 0.40 auc 0.85,0.08/1.00 cat 0.20 auc 0.74,0.38/0.83 cat 0.60 auc 0.77,0.0,
737,elev_doublet_distractor,static,0.517,0.171,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.79,0.00/0.00 cat 0.00 auc 0.66,0.23/0.60 cat 0.20 auc 0.68,0.0,
737,elev_doublet_distractor,lags,0.44,0.14,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.68,0.00/0.00 cat 0.00 auc 0.70,0.46/0.67 cat 0.60 auc 0.68,0.0,
737,elev_doublet_distractor,lags+since,0.408,0.138,0.09/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.77,0.00/0.00 cat 0.00 auc 0.68,0.31/0.50 cat 0.80 auc 0.67,0.0,
737,elev_doublet_distractor,since,0.464,0.155,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.79,0.00/0.00 cat 0.00 auc 0.79,0.23/1.00 cat 0.20 auc 0.68,0.0,
737,engine_restart,static,0.282,0.03,0.05/1.00 cat 0.20 auc nan,0.54/1.00 cat 0.60 auc 0.73,0.15/1.00 cat 0.40 auc 0.67,0.62/0.53 cat 0.80 auc 0.64,0.05,
737,engine_restart,lags,0.135,0.033,0.27/1.00 cat 0.60 auc nan,0.69/0.82 cat 0.80 auc 0.73,0.38/0.71 cat 0.60 auc 0.63,0.85/0.58 cat 1.00 auc 0.68,0.23,
737,engine_restart,lags+since,0.12,0.031,0.14/1.00 cat 0.60 auc nan,0.62/0.89 cat 0.60 auc 0.85,0.38/0.83 cat 0.60 auc 0.73,0.69/0.53 cat 0.80 auc 0.68,0.14,
737,engine_restart,since,0.175,0.027,0.23/1.00 cat 0.40 auc nan,0.46/0.60 cat 0.60 auc 0.90,0.23/1.00 cat 0.40 auc 0.70,0.85/0.65 cat 1.00 auc 0.69,0.14,
787-8,cruise,static,0.518,0.043,0.05/1.00 cat 0.20 auc nan,0.23/0.75 cat 0.60 auc 0.56,0.38/0.71 cat 0.80 auc 0.61,0.31/0.57 cat 0.40 auc 0.54,0.05,
787-8,cruise,lags,0.511,0.038,0.00/0.00 cat 0.00 auc nan,0.15/1.00 cat 0.20 auc 0.59,0.38/0.71 cat 0.80 auc 0.62,0.31/0.57 cat 0.40 auc 0.55,0.0,
787-8,cruise,lags+since,0.511,0.038,0.09/1.00 cat 0.40 auc nan,0.15/0.50 cat 0.60 auc 0.47,0.38/0.71 cat 0.80 auc 0.62,0.31/0.57 cat 0.40 auc 0.53,0.09,
787-8,cruise,since,0.505,0.03,0.00/0.00 cat 0.00 auc nan,0.15/0.50 cat 0.40 auc 0.56,0.38/0.71 cat 0.80 auc 0.63,0.31/0.57 cat 0.40 auc 0.57,0.0,
787-8,throttle_step,static,0.384,0.086,0.00/0.00 cat 0.00 auc nan,0.15/1.00 cat 0.40 auc 0.60,0.38/0.83 cat 0.40 auc 0.74,0.31/0.80 cat 0.40 auc 0.60,0.0,
787-8,throttle_step,lags,0.291,0.071,0.00/0.00 cat 0.00 auc nan,0.23/1.00 cat 0.40 auc 0.77,0.38/0.71 cat 0.60 auc 0.85,0.31/0.67 cat 0.40 auc 0.60,0.0,
787-8,throttle_step,lags+since,0.257,0.065,0.00/0.00 cat 0.00 auc nan,0.38/1.00 cat 0.40 auc 0.82,0.62/0.89 cat 0.80 auc 0.70,0.38/0.71 cat 0.40 auc 0.64,0.0,
787-8,throttle_step,since,0.304,0.075,0.00/0.00 cat 0.00 auc nan,0.31/1.00 cat 0.60 auc 0.84,0.54/0.88 cat 0.80 auc 0.72,0.31/0.80 cat 0.40 auc 0.74,0.0,
787-8,elev_doublet,static,0.51,0.149,0.09/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.66,0.15/0.67 cat 0.60 auc 0.66,0.38/0.71 cat 0.60 auc 0.67,0.05,
787-8,elev_doublet,lags,0.493,0.156,0.05/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.67,0.23/0.75 cat 0.80 auc 0.66,0.31/0.67 cat 0.40 auc 0.65,0.05,
787-8,elev_doublet,lags+since,0.417,0.185,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.67,0.15/0.67 cat 0.60 auc 0.68,0.38/0.50 cat 0.60 auc 0.50,0.0,
787-8,elev_doublet,since,0.441,0.186,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.65,0.15/0.50 cat 0.60 auc 0.58,0.31/0.57 cat 0.60 auc 0.50,0.0,
787-8,elev_step,static,0.552,0.065,0.23/1.00 cat 0.60 auc nan,0.00/0.00 cat 0.40 auc 0.47,0.23/0.75 cat 0.60 auc 0.53,0.31/0.44 cat 0.60 auc 0.46,0.23,
787-8,elev_step,lags,0.503,0.078,0.18/1.00 cat 0.60 auc nan,0.00/0.00 cat 0.40 auc 0.30,0.23/0.75 cat 0.60 auc 0.57,0.31/0.50 cat 0.40 auc 0.51,0.14,
787-8,elev_step,lags+since,0.323,0.06,0.27/1.00 cat 0.40 auc nan,0.15/0.50 cat 0.40 auc 0.31,0.62/0.89 cat 0.80 auc 0.77,0.54/0.64 cat 0.80 auc 0.45,0.18,
787-8,elev_step,since,0.332,0.064,0.23/1.00 cat 0.60 auc nan,0.15/0.67 cat 0.60 auc 0.36,0.54/0.88 cat 0.80 auc 0.75,0.54/0.64 cat 0.80 auc 0.44,0.18,
787-8,aileron_step,static,0.49,0.108,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.58,0.15/1.00 cat 0.40 auc 0.81,0.15/0.33 cat 0.80 auc 0.43,0.0,
787-8,aileron_step,lags,0.374,0.102,0.00/0.00 cat 0.00 auc nan,0.15/1.00 cat 0.20 auc 0.53,0.23/1.00 cat 0.60 auc 0.91,0.08/0.25 cat 0.60 auc 0.43,0.0,
787-8,aileron_step,lags+since,0.294,0.09,0.00/0.00 cat 0.00 auc nan,0.08/1.00 cat 0.20 auc 0.44,0.23/0.75 cat 0.60 auc 0.82,0.15/0.29 cat 0.80 auc 0.39,0.0,
787-8,aileron_step,since,0.365,0.099,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.44,0.23/1.00 cat 0.40 auc 0.85,0.08/0.25 cat 0.60 auc 0.46,0.0,
787-8,rudder_doublet,static,0.503,0.146,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.43,0.38/1.00 cat 0.60 auc 0.71,0.38/0.71 cat 0.60 auc 0.56,0.0,
787-8,rudder_doublet,lags,0.405,0.129,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.55,0.46/0.86 cat 0.80 auc 0.84,0.38/0.62 cat 0.60 auc 0.68,0.0,
787-8,rudder_doublet,lags+since,0.365,0.138,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.50,0.46/1.00 cat 0.60 auc 0.81,0.15/1.00 cat 0.20 auc 0.72,0.0,
787-8,rudder_doublet,since,0.42,0.119,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.49,0.46/1.00 cat 0.80 auc 0.84,0.15/0.40 cat 0.60 auc 0.64,0.0,
787-8,bank_hold,static,0.418,0.113,0.00/0.00 cat 0.00 auc nan,0.15/1.00 cat 0.20 auc 0.63,0.23/1.00 cat 0.60 auc 0.79,0.15/0.50 cat 0.40 auc 0.57,0.0,
787-8,bank_hold,lags,0.328,0.101,0.05/1.00 cat 0.20 auc nan,0.08/0.50 cat 0.40 auc 0.67,0.31/1.00 cat 0.80 auc 0.85,0.08/0.17 cat 0.40 auc 0.56,0.05,
787-8,bank_hold,lags+since,0.279,0.092,0.00/0.00 cat 0.00 auc nan,0.23/1.00 cat 0.40 auc 0.56,0.46/0.86 cat 0.80 auc 0.84,0.31/0.44 cat 0.40 auc 0.59,0.0,
787-8,bank_hold,since,0.33,0.108,0.00/0.00 cat 0.00 auc nan,0.08/1.00 cat 0.20 auc 0.62,0.31/1.00 cat 0.80 auc 0.91,0.15/0.67 cat 0.20 auc 0.65,0.0,
787-8,flap_extend,static,0.19,0.03,0.00/0.00 cat 0.00 auc nan,0.15/1.00 cat 0.40 auc 0.68,0.85/0.61 cat 1.00 auc 0.64,0.92/0.63 cat 1.00 auc 0.72,0.0,
787-8,flap_extend,lags,0.178,0.033,0.05/1.00 cat 0.20 auc nan,0.23/1.00 cat 0.60 auc 0.50,0.62/0.53 cat 0.80 auc 0.58,0.92/0.67 cat 1.00 auc 0.59,0.0,
787-8,flap_extend,lags+since,0.165,0.03,0.05/1.00 cat 0.20 auc nan,0.23/0.60 cat 0.60 auc 0.52,0.54/0.58 cat 0.80 auc 0.53,0.54/0.54 cat 0.80 auc 0.42,0.0,
787-8,flap_extend,since,0.176,0.032,0.05/1.00 cat 0.20 auc nan,0.31/0.80 cat 0.80 auc 0.56,0.54/0.54 cat 0.80 auc 0.55,0.85/0.65 cat 1.00 auc 0.62,0.0,
787-8,engine_cut,static,0.302,0.072,0.00/0.00 cat 0.00 auc nan,0.15/1.00 cat 0.20 auc 0.46,0.31/0.80 cat 0.60 auc 0.59,0.38/0.56 cat 0.60 auc 0.66,0.0,
787-8,engine_cut,lags,0.218,0.075,0.09/1.00 cat 0.40 auc nan,0.23/1.00 cat 0.40 auc 0.62,0.38/0.83 cat 0.60 auc 0.73,0.46/0.67 cat 0.60 auc 0.65,0.14,
