aircraft,manoeuvre,fault,explainer,n_flagged,agreement,agreement_null_median,n_explained,correctness,correctness_largest_movement,correctness_only_changing,correctness_residual_importance,stability,n_with_trim_shift
787-8,elev_step,inertia_x1.6,dynamic,10,0.5,0.7,10,0.9,1.0,1.0,1.0,0.29,0
787-8,elev_step,inertia_x1.6,static,10,0.1,0.5,10,0.9,1.0,1.0,,,0
787-8,elev_step,cmq_x0.5,dynamic,17,0.17647058823529413,0.8235294117647058,17,0.8823529411764706,1.0,1.0,0.8823529411764706,0.3,0
787-8,elev_step,cmq_x0.5,static,17,0.0,0.5882352941176471,17,0.8823529411764706,1.0,1.0,,,0
787-8,elev_step,cmalpha_x0.7,dynamic,19,0.47368421052631576,0.6842105263157895,19,0.8947368421052632,1.0,1.0,0.8947368421052632,0.42105263157894735,19
787-8,elev_step,cmalpha_x0.7,static,19,0.21052631578947367,0.3157894736842105,19,1.0,1.0,1.0,,,19
787-8,elev_step,clo_+0.1,dynamic,18,0.6111111111111112,0.8888888888888888,18,0.3888888888888889,1.0,1.0,0.7777777777777778,0.20555555555555557,18
787-8,elev_step,clo_+0.1,static,18,0.3888888888888889,0.6111111111111112,16,0.125,1.0,1.0,,,16
787-8,aileron_step,inertia_x1.6,dynamic,3,0.0,0.6666666666666666,3,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0
787-8,aileron_step,inertia_x1.6,static,3,0.0,0.6666666666666666,3,1.0,1.0,1.0,,,0
787-8,aileron_step,cmq_x0.5,dynamic,5,0.2,0.6,5,0.4,1.0,1.0,0.4,0.18000000000000002,0
787-8,aileron_step,cmq_x0.5,static,5,0.0,0.2,5,0.8,1.0,1.0,,,0
787-8,aileron_step,cmalpha_x0.7,dynamic,10,0.3,0.8,10,0.8,1.0,1.0,0.4,0.33,10
787-8,aileron_step,cmalpha_x0.7,static,10,0.2,0.6,10,0.8,1.0,1.0,,,10
787-8,aileron_step,clo_+0.1,dynamic,20,0.35,0.65,18,0.9444444444444444,1.0,1.0,0.4444444444444444,0.7277777777777777,18
787-8,aileron_step,clo_+0.1,static,20,0.3,0.65,18,0.9444444444444444,1.0,1.0,,,18
787-8,rudder_doublet,inertia_x1.6,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.7,0
787-8,rudder_doublet,inertia_x1.6,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
787-8,rudder_doublet,cmq_x0.5,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.7,0
787-8,rudder_doublet,cmq_x0.5,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
787-8,rudder_doublet,cmalpha_x0.7,dynamic,5,1.0,1.0,5,1.0,1.0,1.0,0.2,0.68,5
787-8,rudder_doublet,cmalpha_x0.7,static,5,1.0,1.0,5,1.0,1.0,1.0,,,5
787-8,rudder_doublet,clo_+0.1,dynamic,11,0.18181818181818182,0.36363636363636365,9,1.0,1.0,1.0,0.6666666666666666,0.8555555555555556,9
787-8,rudder_doublet,clo_+0.1,static,11,0.2727272727272727,0.5454545454545454,9,1.0,1.0,1.0,,,9
787-8,bank_hold,inertia_x1.6,dynamic,2,0.0,1.0,2,1.0,1.0,1.0,1.0,0.15000000000000002,0
787-8,bank_hold,inertia_x1.6,static,2,0.0,1.0,2,1.0,1.0,1.0,,,0
787-8,bank_hold,cmq_x0.5,dynamic,4,0.75,1.0,4,0.5,1.0,1.0,1.0,0.15000000000000002,0
787-8,bank_hold,cmq_x0.5,static,4,0.5,1.0,4,0.75,1.0,1.0,,,0
787-8,bank_hold,cmalpha_x0.7,dynamic,10,0.6,0.9,10,1.0,1.0,1.0,0.6,0.28,10
787-8,bank_hold,cmalpha_x0.7,static,10,0.3,1.0,10,1.0,1.0,1.0,,,10
787-8,bank_hold,clo_+0.1,dynamic,18,0.4444444444444444,0.7777777777777778,16,0.875,1.0,1.0,0.5,0.6812499999999999,16
787-8,bank_hold,clo_+0.1,static,18,0.16666666666666666,0.4444444444444444,18,0.7777777777777778,1.0,1.0,,,18
787-8,flap_extend,inertia_x1.6,dynamic,2,0.5,0.5,2,0.0,1.0,1.0,1.0,0.0,0
787-8,flap_extend,inertia_x1.6,static,2,0.0,0.5,2,0.0,1.0,1.0,,,0
787-8,flap_extend,cmq_x0.5,dynamic,15,0.3333333333333333,0.9333333333333333,15,0.8666666666666667,1.0,1.0,0.7333333333333333,0.52,0
787-8,flap_extend,cmq_x0.5,static,15,0.13333333333333333,0.6,15,0.5333333333333333,1.0,1.0,,,0
787-8,flap_extend,cmalpha_x0.7,dynamic,22,0.5454545454545454,1.0,22,0.3181818181818182,1.0,1.0,0.8181818181818182,0.32727272727272727,22
787-8,flap_extend,cmalpha_x0.7,static,22,0.8181818181818182,1.0,22,0.22727272727272727,1.0,1.0,,,22
787-8,flap_extend,clo_+0.1,dynamic,22,0.5909090909090909,0.8181818181818182,22,0.5909090909090909,1.0,1.0,0.8636363636363636,0.3772727272727272,22
787-8,flap_extend,clo_+0.1,static,22,0.8636363636363636,0.9545454545454546,22,0.5909090909090909,1.0,1.0,,,22
787-8,engine_cut,inertia_x1.6,dynamic,2,0.0,1.0,2,0.5,1.0,1.0,0.0,0.35,0
787-8,engine_cut,inertia_x1.6,static,2,0.0,0.5,2,0.0,1.0,1.0,,,0
787-8,engine_cut,cmq_x0.5,dynamic,8,0.375,0.75,8,0.25,1.0,1.0,0.0,0.6,0
787-8,engine_cut,cmq_x0.5,static,8,0.25,0.625,8,0.0,1.0,1.0,,,0
787-8,engine_cut,cmalpha_x0.7,dynamic,13,0.5384615384615384,0.6923076923076923,13,0.38461538461538464,1.0,1.0,0.23076923076923078,0.6,13
787-8,engine_cut,cmalpha_x0.7,static,13,0.3076923076923077,0.5384615384615384,13,0.0,1.0,1.0,,,13
787-8,engine_cut,clo_+0.1,dynamic,20,0.5,0.9,20,0.2,1.0,1.0,0.25,0.585,20
787-8,engine_cut,clo_+0.1,static,20,0.45,0.6,18,0.0,1.0,1.0,,,18
787-8,climbing_turn,inertia_x1.6,dynamic,5,0.0,0.6,5,0.2,1.0,1.0,0.8,0.08,0
787-8,climbing_turn,inertia_x1.6,static,5,0.0,0.2,5,1.0,1.0,1.0,,,0
787-8,climbing_turn,cmq_x0.5,dynamic,8,0.25,0.875,8,0.875,1.0,1.0,0.875,0.21250000000000002,0
787-8,climbing_turn,cmq_x0.5,static,8,0.125,0.625,8,0.875,1.0,1.0,,,0
787-8,climbing_turn,cmalpha_x0.7,dynamic,21,0.7142857142857143,0.9047619047619048,21,0.47619047619047616,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.1952380952380952,21
787-8,climbing_turn,cmalpha_x0.7,static,21,0.6190476190476191,0.9047619047619048,21,0.7142857142857143,0.6190476190476191,0.6190476190476191,,,21
787-8,climbing_turn,clo_+0.1,dynamic,18,0.7222222222222222,0.8333333333333334,18,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.5222222222222223,18
787-8,climbing_turn,clo_+0.1,static,18,0.7777777777777778,0.8888888888888888,18,0.5,0.5555555555555556,0.5555555555555556,,,18
787-8,elev_doublet_distractor,inertia_x1.6,dynamic,5,0.0,0.6,5,0.6,1.0,1.0,1.0,0.24,0
787-8,elev_doublet_distractor,inertia_x1.6,static,5,0.0,0.4,5,0.8,1.0,1.0,,,0
787-8,elev_doublet_distractor,cmq_x0.5,dynamic,5,0.0,0.4,5,0.4,1.0,1.0,1.0,0.32,0
787-8,elev_doublet_distractor,cmq_x0.5,static,5,0.0,0.4,5,0.8,1.0,1.0,,,0
787-8,elev_doublet_distractor,cmalpha_x0.7,dynamic,11,0.2727272727272727,0.5454545454545454,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.5545454545454546,11
787-8,elev_doublet_distractor,cmalpha_x0.7,static,11,0.18181818181818182,0.5454545454545454,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,,,11
787-8,elev_doublet_distractor,clo_+0.1,dynamic,12,0.16666666666666666,0.25,12,0.5,0.9166666666666666,0.9166666666666666,0.75,0.6166666666666667,12
787-8,elev_doublet_distractor,clo_+0.1,static,12,0.16666666666666666,0.3333333333333333,12,0.4166666666666667,0.9166666666666666,0.9166666666666666,,,12
787-8,engine_restart,inertia_x1.6,dynamic,1,1.0,1.0,1,1.0,1.0,1.0,1.0,0.4,0
787-8,engine_restart,inertia_x1.6,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
787-8,engine_restart,cmq_x0.5,dynamic,9,0.6666666666666666,1.0,9,0.7777777777777778,1.0,1.0,0.4444444444444444,0.5666666666666668,0
787-8,engine_restart,cmq_x0.5,static,9,0.5555555555555556,0.6666666666666666,9,0.0,1.0,1.0,,,0
787-8,engine_restart,cmalpha_x0.7,dynamic,16,0.6875,0.9375,16,0.5,1.0,1.0,0.5,0.425,16
787-8,engine_restart,cmalpha_x0.7,static,16,0.375,0.625,16,0.25,1.0,1.0,,,16
787-8,engine_restart,clo_+0.1,dynamic,19,0.6842105263157895,1.0,19,0.5263157894736842,1.0,1.0,0.47368421052631576,0.536842105263158,19
787-8,engine_restart,clo_+0.1,static,19,0.47368421052631576,0.7368421052631579,19,0.05263157894736842,1.0,1.0,,,19
A320,throttle_step,inertia_x1.6,dynamic,7,0.14285714285714285,0.42857142857142855,7,0.5714285714285714,1.0,1.0,0.7142857142857143,0.5857142857142856,0
A320,throttle_step,inertia_x1.6,static,7,0.0,0.5714285714285714,7,0.5714285714285714,1.0,1.0,,,0
A320,throttle_step,cmq_x0.5,dynamic,6,0.0,0.6666666666666666,6,1.0,1.0,1.0,0.6666666666666666,0.6833333333333332,0
A320,throttle_step,cmq_x0.5,static,6,0.0,0.6666666666666666,6,0.6666666666666666,1.0,1.0,,,0
A320,throttle_step,cmalpha_x0.7,dynamic,11,0.6363636363636364,0.8181818181818182,11,0.8181818181818182,1.0,1.0,0.6363636363636364,0.6363636363636364,0
A320,throttle_step,cmalpha_x0.7,static,11,0.45454545454545453,0.9090909090909091,11,0.45454545454545453,1.0,1.0,,,0
A320,throttle_step,clo_+0.1,dynamic,17,0.5882352941176471,0.8823529411764706,15,0.4,1.0,1.0,0.6666666666666666,0.3733333333333333,15
A320,throttle_step,clo_+0.1,static,17,0.17647058823529413,0.47058823529411764,15,0.2,1.0,1.0,,,15
A320,elev_doublet,inertia_x1.6,dynamic,10,0.2,0.5,10,1.0,1.0,1.0,0.9,0.51,0
A320,elev_doublet,inertia_x1.6,static,10,0.0,0.4,10,1.0,1.0,1.0,,,0
A320,elev_doublet,cmq_x0.5,dynamic,0,,,0,,,,,,0
A320,elev_doublet,cmq_x0.5,static,0,,,0,,,,,,0
A320,elev_doublet,cmalpha_x0.7,dynamic,11,0.2727272727272727,0.6363636363636364,11,1.0,1.0,1.0,0.9090909090909091,0.4454545454545455,0
A320,elev_doublet,cmalpha_x0.7,static,11,0.18181818181818182,0.36363636363636365,11,1.0,1.0,1.0,,,0
A320,elev_doublet,clo_+0.1,dynamic,14,0.2857142857142857,0.6428571428571429,12,1.0,1.0,1.0,0.9166666666666666,0.38333333333333336,12
A320,elev_doublet,clo_+0.1,static,14,0.07142857142857142,0.5,12,1.0,1.0,1.0,,,12
A320,elev_step,inertia_x1.6,dynamic,10,0.1,0.3,10,0.6,1.0,1.0,1.0,0.18,0
A320,elev_step,inertia_x1.6,static,10,0.0,0.4,10,0.2,1.0,1.0,,,0
A320,elev_step,cmq_x0.5,dynamic,5,0.0,0.4,5,0.4,1.0,1.0,1.0,0.0,0
A320,elev_step,cmq_x0.5,static,5,0.0,0.0,5,0.0,1.0,1.0,,,0
A320,elev_step,cmalpha_x0.7,dynamic,21,0.38095238095238093,0.8571428571428571,21,0.7142857142857143,1.0,1.0,0.9047619047619048,0.3666666666666667,0
A320,elev_step,cmalpha_x0.7,static,21,0.19047619047619047,0.5714285714285714,21,0.7142857142857143,1.0,1.0,,,0
A320,elev_step,clo_+0.1,dynamic,20,0.2,0.6,20,0.35,1.0,1.0,0.85,0.15499999999999997,20
A320,elev_step,clo_+0.1,static,20,0.5,0.55,18,0.1111111111111111,1.0,1.0,,,18
A320,aileron_step,inertia_x1.6,dynamic,7,0.14285714285714285,0.7142857142857143,7,0.42857142857142855,1.0,1.0,0.5714285714285714,0.21428571428571427,0
A320,aileron_step,inertia_x1.6,static,7,0.0,0.7142857142857143,7,1.0,1.0,1.0,,,0
A320,aileron_step,cmq_x0.5,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.6,0
A320,aileron_step,cmq_x0.5,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
A320,aileron_step,cmalpha_x0.7,dynamic,4,0.5,1.0,4,1.0,1.0,1.0,0.5,0.325,4
A320,aileron_step,cmalpha_x0.7,static,4,0.75,1.0,4,1.0,1.0,1.0,,,4
A320,aileron_step,clo_+0.1,dynamic,20,0.55,0.85,18,0.8888888888888888,1.0,1.0,0.5555555555555556,0.5833333333333335,18
A320,aileron_step,clo_+0.1,static,20,0.3,0.75,18,1.0,1.0,1.0,,,18
A320,rudder_doublet,inertia_x1.6,dynamic,7,0.14285714285714285,0.14285714285714285,7,1.0,1.0,1.0,0.8571428571428571,0.4857142857142857,0
A320,rudder_doublet,inertia_x1.6,static,7,0.0,0.0,7,1.0,1.0,1.0,,,0
A320,rudder_doublet,cmq_x0.5,dynamic,3,0.0,0.0,3,1.0,1.0,1.0,0.6666666666666666,0.5666666666666667,0
A320,rudder_doublet,cmq_x0.5,static,3,0.0,0.0,3,1.0,1.0,1.0,,,0
A320,rudder_doublet,cmalpha_x0.7,dynamic,11,0.36363636363636365,0.7272727272727273,11,1.0,1.0,1.0,0.5454545454545454,0.3818181818181818,0
A320,rudder_doublet,cmalpha_x0.7,static,11,0.2727272727272727,0.6363636363636364,11,1.0,1.0,1.0,,,0
A320,rudder_doublet,clo_+0.1,dynamic,7,0.2857142857142857,0.5714285714285714,7,1.0,1.0,1.0,0.14285714285714285,0.8142857142857143,7
A320,rudder_doublet,clo_+0.1,static,7,0.14285714285714285,0.7142857142857143,5,1.0,1.0,1.0,,,5
A320,bank_hold,inertia_x1.6,dynamic,6,0.0,0.6666666666666666,6,0.6666666666666666,1.0,1.0,0.6666666666666666,0.18333333333333335,0
A320,bank_hold,inertia_x1.6,static,6,0.0,0.6666666666666666,6,1.0,1.0,1.0,,,0
A320,bank_hold,cmq_x0.5,dynamic,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0.2,0
A320,bank_hold,cmq_x0.5,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
A320,bank_hold,cmalpha_x0.7,dynamic,4,0.5,0.75,4,1.0,1.0,1.0,0.5,0.45,0
