aircraft,manoeuvre,variant,es_max,n_gated,n_flagged,n_cand,phys_recall,phys_precision,phys_cat_recall,phys_auc,gated_recall,gated_precision,gated_auc,agree_dynamic,correct_dynamic,agree_static,correct_static,gated_cat_recall
A320,elev_step,B_pqrdot_5ad2694c,22.878767894816843,2,5,10,0.22727272727272727,1.0,0.4,,1.0,0.4,1.0,0.2,0.4,0.0,0.2,1.0
A320,elev_step,B_turbine_windmill_2db8e408,0.0,0,4,10,0.0,0.0,0.4,0.017094017094017103,,,,0.0,0.5,0.0,0.0,
A320,aileron_step,B_pqrdot_5ad2694c,0.020770987981850453,0,0,10,0.0,,0.0,,,,,,,,,
A320,aileron_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.41025641025641024,,,,,,,,
A320,rudder_doublet,B_pqrdot_5ad2694c,0.00032841410539340507,0,3,10,0.13636363636363635,1.0,0.4,,,,,0.0,1.0,0.0,1.0,
A320,rudder_doublet,B_turbine_windmill_2db8e408,0.0,0,3,10,0.23076923076923078,1.0,0.4,0.36752136752136755,,,,0.0,1.0,0.0,1.0,
A320,bank_hold,B_pqrdot_5ad2694c,0.031014612013465448,0,0,10,0.0,,0.0,,,,,,,,,
A320,bank_hold,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.07692307692307693,,,,,,,,
A320,flap_extend,B_pqrdot_5ad2694c,24.177550834980817,2,4,10,0.18181818181818182,1.0,0.6,,1.0,0.5,1.0,0.75,1.0,0.75,0.5,1.0
A320,flap_extend,B_turbine_windmill_2db8e408,0.0,0,2,10,0.15384615384615385,1.0,0.4,0.36752136752136755,,,,0.5,1.0,0.5,0.5,
A320,engine_cut,B_pqrdot_5ad2694c,0.005976611407914845,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,0.0,0.0,0.0,
A320,engine_cut,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.37606837606837606,,,,0.0,0.0,0.0,0.0,
A320,climbing_turn,B_pqrdot_5ad2694c,0.010852296448798184,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,0.0,0.0,1.0,
A320,climbing_turn,B_turbine_windmill_2db8e408,0.0,0,1,10,0.0,0.0,0.2,0.33333333333333337,,,,0.0,0.0,0.0,1.0,
A320,elev_doublet_distractor,B_pqrdot_5ad2694c,8.392927678755485e-05,0,0,10,0.0,,0.0,,,,,,,,,
A320,elev_doublet_distractor,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.6752136752136753,,,,,,,,
A320,engine_restart,B_pqrdot_5ad2694c,0.00118725614802106,0,2,10,0.09090909090909091,1.0,0.4,,,,,0.0,0.0,0.0,0.0,
A320,engine_restart,B_turbine_windmill_2db8e408,30.100621271591525,7,16,10,0.6923076923076923,0.5625,0.8,0.5128205128205129,1.0,0.4375,0.7333333333333334,0.75,0.6875,0.875,0.0625,1.0
A4,cruise,B_elevator_drag_8819410c,0.8828456619831422,0,2,10,0.0,0.0,0.4,0.32478632478632474,,,,0.0,,0.0,,
A4,cruise,B_pqrdot_5ad2694c,0.5476110115967963,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,,0.0,,
A4,cruise,B_turbine_windmill_2db8e408,0.0,0,1,10,0.0,0.0,0.2,0.2991452991452992,,,,0.0,,0.0,,
A4,throttle_step,B_elevator_drag_8819410c,0.08117495660956559,0,0,10,0.0,,0.0,0.017094017094017103,,,,,,,,
A4,throttle_step,B_pqrdot_5ad2694c,1.430193824118038,1,1,10,0.045454545454545456,1.0,0.2,,1.0,1.0,0.9047619047619048,1.0,1.0,1.0,1.0,1.0
A4,throttle_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.18803418803418803,,,,,,,,
