aircraft,manoeuvre,method,fault,recall,precision,cat_recall,cat_precision,auc,n_flagged,flagged,n_gated,gated_recall,gated_precision,gated_auc,false_alarm
737,throttle_step,sig_static,clo_+0.1,0.3076923076923077,1.0,0.6,1.0,0.6666666666666666,4.0,attitude/theta-rad;velocities/u-fps;velocities/vt-fps;accelerations/wdot-ft_sec2,3.0,0.3333333333333333,0.25,0.2982456140350877,
737,throttle_step,sig_static,noop,,,,,,,,,,,,0.045454545454545456
737,throttle_step,sig_dynamic,inertia_x1.6,0.13636363636363635,1.0,0.4,1.0,,3.0,velocities/h-dot-fps;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2,0.0,,,,
737,throttle_step,sig_dynamic,cmq_x0.5,0.23076923076923078,0.75,0.6,1.0,0.6666666666666667,4.0,attitude/theta-rad;velocities/h-dot-fps;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2,2.0,1.0,0.5,0.95,
737,throttle_step,sig_dynamic,cmalpha_x0.7,0.38461538461538464,0.7142857142857143,0.6,1.0,0.5641025641025641,7.0,attitude/phi-rad;velocities/u-fps;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2,0.0,,,,
737,throttle_step,sig_dynamic,clo_+0.1,0.38461538461538464,0.7142857142857143,0.6,1.0,0.6239316239316239,7.0,attitude/phi-rad;attitude/theta-rad;velocities/u-fps;velocities/vt-fps;velocities/h-dot-fps;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2,3.0,0.3333333333333333,0.14285714285714285,0.3333333333333333,
737,throttle_step,sig_dynamic,noop,,,,,,,,,,,,0.13636363636363635
737,throttle_step,envelope,inertia_x1.6,0.0,,0.0,,,0.0,,0.0,,,,
737,throttle_step,envelope,cmq_x0.5,0.23076923076923078,1.0,0.4,1.0,0.8803418803418804,3.0,velocities/h-dot-fps;accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2,2.0,0.5,0.3333333333333333,0.9,
737,throttle_step,envelope,cmalpha_x0.7,0.07692307692307693,1.0,0.2,1.0,0.8205128205128205,1.0,accelerations/wdot-ft_sec2,0.0,,,,
737,throttle_step,envelope,clo_+0.1,0.38461538461538464,0.7142857142857143,0.8,1.0,0.6324786324786326,7.0,attitude/theta-rad;velocities/w-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,3.0,1.0,0.42857142857142855,1.0,
737,throttle_step,envelope,noop,,,,,,,,,,,,0.0
737,throttle_step,ks,inertia_x1.6,0.0,,0.0,,,0.0,,0.0,,,,
737,throttle_step,ks,cmq_x0.5,0.15384615384615385,1.0,0.4,1.0,0.4444444444444444,2.0,attitude/theta-rad;accelerations/wdot-ft_sec2,2.0,0.5,0.5,0.95,
737,throttle_step,ks,cmalpha_x0.7,0.0,,0.0,,0.2222222222222222,0.0,,0.0,,,,
737,throttle_step,ks,clo_+0.1,0.3076923076923077,0.5714285714285714,0.8,1.0,0.5384615384615385,7.0,attitude/theta-rad;velocities/w-fps;accelerations/pdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,3.0,1.0,0.42857142857142855,1.0,
737,throttle_step,ks,noop,,,,,,,,,,,,0.0
737,throttle_step,regression,inertia_x1.6,0.045454545454545456,1.0,0.2,1.0,,1.0,accelerations/wdot-ft_sec2,0.0,,,,
737,throttle_step,regression,cmq_x0.5,0.46153846153846156,1.0,0.6,1.0,0.8803418803418803,6.0,attitude/theta-rad;velocities/q-rad_sec;velocities/h-dot-fps;accelerations/qdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/wdot-ft_sec2,2.0,1.0,0.3333333333333333,0.975,
737,throttle_step,regression,cmalpha_x0.7,0.07692307692307693,1.0,0.2,1.0,0.8717948717948718,1.0,accelerations/wdot-ft_sec2,0.0,,,,
