aircraft,manoeuvre,fault,explainer,n_flagged,agreement,agreement_null_median,n_explained,correctness,correctness_largest_movement,correctness_only_changing,correctness_residual_importance,stability,n_with_trim_shift
787-8,elev_step,clo_+0.1,static,7,0.14285714285714285,0.5714285714285714,7,0.8571428571428571,1.0,1.0,,,7
787-8,aileron_step,inertia_x1.6,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,0.0,0.2,0
787-8,aileron_step,inertia_x1.6,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
787-8,aileron_step,cmq_x0.5,dynamic,0,,,0,,,,,,0
787-8,aileron_step,cmq_x0.5,static,0,,,0,,,,,,0
787-8,aileron_step,cmalpha_x0.7,dynamic,4,0.25,1.0,4,1.0,1.0,1.0,0.75,0.35,4
787-8,aileron_step,cmalpha_x0.7,static,4,0.75,1.0,4,1.0,1.0,1.0,,,4
787-8,aileron_step,clo_+0.1,dynamic,8,0.25,0.375,8,1.0,1.0,1.0,0.375,0.6499999999999999,8
787-8,aileron_step,clo_+0.1,static,8,0.25,0.5,8,0.875,1.0,1.0,,,8
787-8,rudder_doublet,inertia_x1.6,dynamic,1,0.0,0.0,1,1.0,1.0,1.0,0.0,1.0,0
787-8,rudder_doublet,inertia_x1.6,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
787-8,rudder_doublet,cmq_x0.5,dynamic,0,,,0,,,,,,0
787-8,rudder_doublet,cmq_x0.5,static,0,,,0,,,,,,0
787-8,rudder_doublet,cmalpha_x0.7,dynamic,4,0.75,1.0,4,1.0,1.0,1.0,0.5,1.0,4
787-8,rudder_doublet,cmalpha_x0.7,static,4,0.75,0.75,4,1.0,1.0,1.0,,,4
787-8,rudder_doublet,clo_+0.1,dynamic,6,0.0,0.5,6,1.0,1.0,1.0,0.3333333333333333,1.0,6
787-8,rudder_doublet,clo_+0.1,static,6,0.3333333333333333,0.5,5,1.0,1.0,1.0,,,5
787-8,bank_hold,inertia_x1.6,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.7,0
787-8,bank_hold,inertia_x1.6,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
787-8,bank_hold,cmq_x0.5,dynamic,0,,,0,,,,,,0
787-8,bank_hold,cmq_x0.5,static,0,,,0,,,,,,0
787-8,bank_hold,cmalpha_x0.7,dynamic,6,0.3333333333333333,0.5,6,1.0,1.0,1.0,0.5,0.26666666666666666,6
787-8,bank_hold,cmalpha_x0.7,static,6,0.3333333333333333,0.8333333333333334,6,1.0,1.0,1.0,,,6
787-8,bank_hold,clo_+0.1,dynamic,10,0.1,0.6,10,1.0,1.0,1.0,0.5,0.45,10
787-8,bank_hold,clo_+0.1,static,10,0.3,0.7,9,1.0,1.0,1.0,,,9
787-8,flap_extend,inertia_x1.6,dynamic,0,,,0,,,,,,0
787-8,flap_extend,inertia_x1.6,static,0,,,0,,,,,,0
787-8,flap_extend,cmq_x0.5,dynamic,4,0.25,0.5,4,1.0,1.0,1.0,1.0,0.775,0
787-8,flap_extend,cmq_x0.5,static,4,0.0,0.25,4,1.0,1.0,1.0,,,0
787-8,flap_extend,cmalpha_x0.7,dynamic,8,0.5,0.75,8,1.0,1.0,1.0,1.0,0.65,8
787-8,flap_extend,cmalpha_x0.7,static,8,0.375,0.5,8,1.0,1.0,1.0,,,8
787-8,flap_extend,clo_+0.1,dynamic,9,0.3333333333333333,0.5555555555555556,9,1.0,1.0,1.0,1.0,0.15555555555555556,9
787-8,flap_extend,clo_+0.1,static,9,0.1111111111111111,0.6666666666666666,9,1.0,1.0,1.0,,,9
787-8,engine_cut,inertia_x1.6,dynamic,0,,,0,,,,,,0
787-8,engine_cut,inertia_x1.6,static,0,,,0,,,,,,0
787-8,engine_cut,cmq_x0.5,dynamic,2,0.0,0.0,2,0.0,1.0,1.0,0.5,0.5,0
787-8,engine_cut,cmq_x0.5,static,2,0.0,0.0,2,0.0,1.0,1.0,,,0
787-8,engine_cut,cmalpha_x0.7,dynamic,1,0.0,1.0,1,0.0,1.0,1.0,1.0,1.0,1
787-8,engine_cut,cmalpha_x0.7,static,1,0.0,1.0,1,0.0,1.0,1.0,,,1
787-8,engine_cut,clo_+0.1,dynamic,7,0.5714285714285714,0.7142857142857143,7,0.14285714285714285,1.0,1.0,0.8571428571428571,0.7285714285714285,7
787-8,engine_cut,clo_+0.1,static,7,0.42857142857142855,0.5714285714285714,6,0.0,1.0,1.0,,,6
787-8,climbing_turn,inertia_x1.6,dynamic,0,,,0,,,,,,0
787-8,climbing_turn,inertia_x1.6,static,0,,,0,,,,,,0
787-8,climbing_turn,cmq_x0.5,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.2,0
787-8,climbing_turn,cmq_x0.5,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
787-8,climbing_turn,cmalpha_x0.7,dynamic,9,0.6666666666666666,1.0,9,0.6666666666666666,1.0,1.0,1.0,0.30000000000000004,9
787-8,climbing_turn,cmalpha_x0.7,static,9,0.6666666666666666,0.6666666666666666,9,1.0,1.0,1.0,,,9
787-8,climbing_turn,clo_+0.1,dynamic,7,0.5714285714285714,0.8571428571428571,7,0.0,1.0,1.0,1.0,0.2857142857142857,7
787-8,climbing_turn,clo_+0.1,static,7,0.7142857142857143,0.7142857142857143,7,0.0,1.0,1.0,,,7
787-8,elev_doublet_distractor,inertia_x1.6,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.5,0
