fault,aircraft,test_case,changed_exec_lines,executed,max_count,reach
B2_load_factor_sign_c3fa7d22,737,engine_restart,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,engine_restart,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,engine_restart,3,3,15127,True
B_pqrdot_5ad2694c,737,engine_stop,5,1,350,True
B_piston_power_bcd3f980,737,engine_stop,3,0,0,False
B_turbine_windmill_2db8e408,737,engine_stop,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,engine_stop,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,engine_stop,1,1,8273,True
B2_wheel_spin_down_8a9fba1c,737,engine_stop,4,4,1050,True
B2_sensor_fail_stuck_f543d634,737,engine_stop,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,engine_stop,5,0,0,False
B2_load_factor_sign_c3fa7d22,737,engine_stop,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,engine_stop,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,engine_stop,3,3,725,True
B_pqrdot_5ad2694c,787-8,cruise,5,1,7731,True
B_piston_power_bcd3f980,787-8,cruise,3,0,0,False
B_turbine_windmill_2db8e408,787-8,cruise,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,cruise,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,cruise,1,1,25486,True
B2_wheel_spin_down_8a9fba1c,787-8,cruise,4,4,54117,True
B2_sensor_fail_stuck_f543d634,787-8,cruise,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,cruise,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,cruise,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,cruise,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,cruise,3,3,15487,True
B_pqrdot_5ad2694c,787-8,throttle_step,5,1,7731,True
B_piston_power_bcd3f980,787-8,throttle_step,3,0,0,False
B_turbine_windmill_2db8e408,787-8,throttle_step,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,throttle_step,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,throttle_step,1,1,25486,True
B2_wheel_spin_down_8a9fba1c,787-8,throttle_step,4,4,54117,True
B2_sensor_fail_stuck_f543d634,787-8,throttle_step,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,throttle_step,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,throttle_step,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,throttle_step,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,throttle_step,3,3,15487,True
B_pqrdot_5ad2694c,787-8,elev_doublet,5,1,4131,True
B_piston_power_bcd3f980,787-8,elev_doublet,3,0,0,False
B_turbine_windmill_2db8e408,787-8,elev_doublet,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,elev_doublet,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,elev_doublet,1,1,18284,True
B2_wheel_spin_down_8a9fba1c,787-8,elev_doublet,4,4,28917,True
B2_sensor_fail_stuck_f543d634,787-8,elev_doublet,3,0,0,False
