aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,false_alarm,gated_cat,gated_auc
Camel,climbing_turn,noop,0,0.695,,,,,,,0.0,,
Camel,elev_doublet_distractor,cmq_x0.5,3,0.781,0.48,0.0,0.15/0.67,0.40/1.00,0.48,-,,,
Camel,elev_doublet_distractor,cmalpha_x0.7,0,0.781,1.14,4.0,0.00/0.00,0.00/0.00,0.61,0.00/0.00,,0.00/0.00,0.76
Camel,elev_doublet_distractor,clo_+0.1,1,0.781,1.09,1.0,0.08/1.00,0.20/1.00,0.49,0.00/0.00,,0.00/0.00,0.0
Camel,elev_doublet_distractor,noop,4,0.781,,,,,,,0.18,,
Camel,engine_stop,cmq_x0.5,2,0.781,0.48,0.0,0.08/0.50,0.20/1.00,0.51,-,,,
Camel,engine_stop,cmalpha_x0.7,0,0.781,1.33,6.0,0.00/0.00,0.00/0.00,0.61,0.00/0.00,,0.00/0.00,0.73
Camel,engine_stop,clo_+0.1,4,0.781,0.78,0.0,0.15/0.50,0.60/1.00,0.56,-,,,
Camel,engine_stop,noop,2,0.781,,,,,,,0.09,,
J3Cub,cruise,cmq_x0.5,0,0.786,0.43,0.0,0.00/0.00,0.00/0.00,0.61,-,,,
J3Cub,cruise,cmalpha_x0.7,2,0.786,0.68,0.0,0.00/0.00,0.40/1.00,0.5,-,,,
J3Cub,cruise,clo_+0.1,4,0.786,1.2,1.0,0.31/1.00,0.20/1.00,0.56,0.00/0.00,,0.00/0.00,0.0
J3Cub,cruise,noop,1,0.786,,,,,,,0.05,,
J3Cub,throttle_step,cmq_x0.5,0,0.761,0.66,0.0,0.00/0.00,0.00/0.00,0.33,-,,,
J3Cub,throttle_step,cmalpha_x0.7,1,0.761,1.13,0.0,0.08/1.00,0.20/1.00,0.54,-,,,
J3Cub,throttle_step,clo_+0.1,4,0.761,1.06,1.0,0.31/1.00,0.40/1.00,0.71,0.00/0.00,,0.00/0.00,0.0
J3Cub,throttle_step,noop,0,0.761,,,,,,,0.0,,
J3Cub,elev_doublet,cmq_x0.5,0,0.764,0.45,0.0,0.00/0.00,0.00/0.00,0.36,-,,,
J3Cub,elev_doublet,cmalpha_x0.7,3,0.764,0.71,0.0,0.23/1.00,0.40/1.00,0.5,-,,,
J3Cub,elev_doublet,clo_+0.1,4,0.764,1.12,1.0,0.31/1.00,0.40/1.00,0.74,0.00/0.00,,0.00/0.00,0.0
J3Cub,elev_doublet,noop,1,0.764,,,,,,,0.05,,
J3Cub,elev_step,cmq_x0.5,2,0.778,0.56,0.0,0.08/0.50,0.40/1.00,0.47,-,,,
J3Cub,elev_step,cmalpha_x0.7,2,0.778,0.77,0.0,0.15/1.00,0.20/1.00,0.51,-,,,
J3Cub,elev_step,clo_+0.1,4,0.778,1.12,1.0,0.23/0.75,0.40/1.00,0.6,0.00/0.00,,0.00/0.00,0.0
J3Cub,elev_step,noop,3,0.778,,,,,,,0.14,,
J3Cub,aileron_step,cmq_x0.5,1,0.759,1.17,0.0,0.08/1.00,0.20/1.00,0.76,-,,,
J3Cub,aileron_step,cmalpha_x0.7,0,0.759,0.87,0.0,0.00/0.00,0.00/0.00,0.21,-,,,
J3Cub,aileron_step,clo_+0.1,6,0.759,1.25,1.0,0.15/0.33,0.80/1.00,0.5,1.00/0.17,,1.00/0.25,1.0
J3Cub,aileron_step,noop,0,0.759,,,,,,,0.0,,
J3Cub,rudder_doublet,cmq_x0.5,0,0.738,0.41,0.0,0.00/0.00,0.00/0.00,0.35,-,,,
J3Cub,rudder_doublet,cmalpha_x0.7,3,0.738,0.74,0.0,0.00/0.00,0.40/1.00,0.38,-,,,
J3Cub,rudder_doublet,clo_+0.1,8,0.738,1.15,1.0,0.38/0.62,0.80/1.00,0.56,1.00/0.12,,1.00/0.25,0.76
J3Cub,rudder_doublet,noop,0,0.738,,,,,,,0.0,,
J3Cub,bank_hold,cmq_x0.5,0,0.774,0.9,0.0,0.00/0.00,0.00/0.00,0.68,-,,,
J3Cub,bank_hold,cmalpha_x0.7,0,0.774,0.79,0.0,0.00/0.00,0.00/0.00,0.49,-,,,
J3Cub,bank_hold,clo_+0.1,3,0.774,1.15,1.0,0.08/0.33,0.60/1.00,0.47,1.00/0.33,,1.00/0.33,1.0
J3Cub,bank_hold,noop,0,0.774,,,,,,,0.0,,
J3Cub,flap_extend,cmq_x0.5,0,0.769,0.47,0.0,0.00/0.00,0.00/0.00,0.43,-,,,
J3Cub,flap_extend,cmalpha_x0.7,3,0.769,0.79,0.0,0.23/1.00,0.60/1.00,0.53,-,,,
J3Cub,flap_extend,clo_+0.1,4,0.769,1.11,1.0,0.15/0.50,0.60/1.00,0.44,0.00/0.00,,0.00/0.00,0.0
J3Cub,flap_extend,noop,0,0.769,,,,,,,0.0,,
J3Cub,climbing_turn,cmq_x0.5,7,0.731,1.08,0.0,0.38/0.71,0.60/1.00,0.58,-,,,
J3Cub,climbing_turn,cmalpha_x0.7,2,0.731,1.0,0.0,0.15/1.00,0.20/1.00,0.78,-,,,
J3Cub,climbing_turn,clo_+0.1,5,0.731,1.48,1.0,0.23/0.60,0.20/1.00,0.57,0.00/0.00,,0.00/0.00,0.1
J3Cub,climbing_turn,noop,1,0.731,,,,,,,0.05,,
J3Cub,elev_doublet_distractor,cmq_x0.5,4,0.763,0.37,0.0,0.00/0.00,0.60/1.00,0.39,-,,,
J3Cub,elev_doublet_distractor,cmalpha_x0.7,3,0.763,0.55,0.0,0.08/0.33,0.60/1.00,0.61,-,,,
J3Cub,elev_doublet_distractor,clo_+0.1,6,0.763,1.12,1.0,0.08/0.17,0.80/1.00,0.29,0.00/0.00,,1.00/0.25,0.0
