aircraft,manoeuvre,setting,fault,recall,precision,auc,base_score
737,throttle_step,det_2hz,clo_+0.1,0.46153846153846156,0.75,0.6752136752136751,3.2881693368744065
737,throttle_step,sig_K3,inertia_x1.6,0.045454545454545456,1.0,,0.49897897443654526
737,throttle_step,sig_K3,cmq_x0.5,0.0,0.0,0.3675213675213676,0.49897897443654526
737,throttle_step,sig_K3,cmalpha_x0.7,0.0,,0.4188034188034188,0.49897897443654526
737,throttle_step,sig_K3,clo_+0.1,0.3076923076923077,1.0,0.7692307692307692,0.49897897443654526
737,throttle_step,sig_K5,inertia_x1.6,0.045454545454545456,1.0,,0.6553736197247013
737,throttle_step,sig_K5,cmq_x0.5,0.07692307692307693,1.0,0.641025641025641,0.6553736197247013
737,throttle_step,sig_K5,cmalpha_x0.7,0.0,0.0,0.5897435897435898,0.6553736197247013
737,throttle_step,sig_K5,clo_+0.1,0.07692307692307693,0.3333333333333333,0.35042735042735046,0.6553736197247013
737,throttle_step,sig_K7,inertia_x1.6,0.0,,,0.7364354863106942
737,throttle_step,sig_K7,cmq_x0.5,0.0,,0.4700854700854701,0.7364354863106942
737,throttle_step,sig_K7,cmalpha_x0.7,0.07692307692307693,1.0,0.6153846153846154,0.7364354863106942
737,throttle_step,sig_K7,clo_+0.1,0.15384615384615385,0.6666666666666666,0.4188034188034188,0.7364354863106942
737,throttle_step,sig_leaf50,inertia_x1.6,0.045454545454545456,1.0,,0.6447095749508395
737,throttle_step,sig_leaf50,cmq_x0.5,0.0,,0.7521367521367521,0.6447095749508395
737,throttle_step,sig_leaf50,cmalpha_x0.7,0.0,,0.6923076923076923,0.6447095749508395
737,throttle_step,sig_leaf50,clo_+0.1,0.07692307692307693,0.5,0.45299145299145294,0.6447095749508395
737,throttle_step,sig_n10,inertia_x1.6,0.0,,,0.6880388746029346
737,throttle_step,sig_n10,cmq_x0.5,0.0,,0.5128205128205128,0.6880388746029346
737,throttle_step,sig_n10,cmalpha_x0.7,0.0,,0.5384615384615385,0.6880388746029346
737,throttle_step,sig_n10,clo_+0.1,0.07692307692307693,0.5,0.3162393162393163,0.6880388746029346
737,throttle_step,sig_lags_1,inertia_x1.6,0.13636363636363635,1.0,,0.6576992890636818
737,throttle_step,sig_lags_1,cmq_x0.5,0.23076923076923078,1.0,0.5982905982905984,0.6576992890636818
737,throttle_step,sig_lags_1,cmalpha_x0.7,0.07692307692307693,1.0,0.7094017094017093,0.6576992890636818
737,throttle_step,sig_lags_1,clo_+0.1,0.15384615384615385,0.4,0.37606837606837606,0.6576992890636818
737,throttle_step,sig_lags_long,inertia_x1.6,0.0,,,0.6529723188625017
737,throttle_step,sig_lags_long,cmq_x0.5,0.07692307692307693,1.0,0.6153846153846154,0.6529723188625017
737,throttle_step,sig_lags_long,cmalpha_x0.7,0.07692307692307693,1.0,0.7606837606837608,0.6529723188625017
737,throttle_step,sig_lags_long,clo_+0.1,0.07692307692307693,0.5,0.4444444444444445,0.6529723188625017
737,throttle_step,sig_equal_width,inertia_x1.6,0.045454545454545456,1.0,,0.4639880502193315
737,throttle_step,sig_equal_width,cmq_x0.5,0.0,0.0,0.25641025641025644,0.4639880502193315
737,throttle_step,sig_equal_width,cmalpha_x0.7,0.0,0.0,0.23076923076923078,0.4639880502193315
737,throttle_step,sig_equal_width,clo_+0.1,0.5384615384615384,0.7777777777777778,0.8376068376068377,0.4639880502193315
737,throttle_step,sig_5hz,inertia_x1.6,0.09090909090909091,1.0,,0.6537073391724554
737,throttle_step,sig_5hz,cmq_x0.5,0.07692307692307693,1.0,0.7350427350427351,0.6537073391724554
737,throttle_step,sig_5hz,cmalpha_x0.7,0.0,0.0,0.7777777777777777,0.6537073391724554
737,throttle_step,sig_5hz,clo_+0.1,0.15384615384615385,0.5,0.4700854700854701,0.6537073391724554
737,throttle_step,sig_2hz,inertia_x1.6,0.09090909090909091,1.0,,0.6507700976709242
737,throttle_step,sig_2hz,cmq_x0.5,0.15384615384615385,1.0,0.7350427350427351,0.6507700976709242
737,throttle_step,sig_2hz,cmalpha_x0.7,0.07692307692307693,1.0,0.7264957264957265,0.6507700976709242
737,throttle_step,sig_2hz,clo_+0.1,0.07692307692307693,1.0,0.3846153846153846,0.6507700976709242
737,elev_doublet,det_n10,inertia_x1.6,0.0,,,13.539368136449582
737,elev_doublet,det_n10,cmq_x0.5,0.0,,0.48717948717948717,13.539368136449582
737,elev_doublet,det_n10,cmalpha_x0.7,0.0,,0.5555555555555556,13.539368136449582
737,elev_doublet,det_n10,clo_+0.1,0.5384615384615384,1.0,0.8632478632478633,13.539368136449582
737,elev_doublet,det_n20,inertia_x1.6,0.0,,,7.178079544968048
737,elev_doublet,det_n20,cmq_x0.5,0.0,,0.5726495726495726,7.178079544968048
737,elev_doublet,det_n20,cmalpha_x0.7,0.07692307692307693,1.0,0.6752136752136751,7.178079544968048
737,elev_doublet,det_n20,clo_+0.1,0.6153846153846154,0.8888888888888888,0.7692307692307694,7.178079544968048
