fault,set,kind,aircraft,test_case,n_matched,n_cand,n_missing,structural,propagated,es1_max,es1_output,es_max,observable,n_observable_outputs,n_flag_05,min_p
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2099580083983203
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2099580083983203
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2099580083983203
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2099580083983203
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2099580083983203
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2099580083983203
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2099580083983203
B_elevator_drag_8819410c,development,model,737,climbing_turn,10,10,0,False,True,0.8227736547422472,accelerations/qdot-rad_sec2,0.7546948952676383,False,0.0,6.0,0.0003999200159968
B_ground_effect_9c058118,development,model,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B_pqrdot_5ad2694c,development,cpp,737,climbing_turn,10,10,0,False,True,0.0001720707237847,accelerations/rdot-rad_sec2,0.0001654795684077,False,0.0,2.0,0.0365926814637072
B_turbine_windmill_2db8e408,development,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0365926814637072
B_elevator_drag_8819410c,development,model,737,elev_doublet_distractor,10,10,0,False,True,1.6753928191842766,accelerations/udot-ft_sec2,1.0313802081126666,True,1.0,0.0,0.0517896420715856
B_ground_effect_9c058118,development,model,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B_pqrdot_5ad2694c,development,cpp,737,elev_doublet_distractor,10,10,0,False,True,7.12334828854645e-05,accelerations/qdot-rad_sec2,7.839219087807259e-05,False,0.0,0.0,0.2373525294941011
B_turbine_windmill_2db8e408,development,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2373525294941011
B_elevator_drag_8819410c,development,model,737,engine_restart,10,10,0,False,True,1.255634776832812,attitude/psi-rad,1.1653707879948894,True,1.0,11.0,0.0001999600079984
B_ground_effect_9c058118,development,model,737,engine_restart,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0173965206958608
B_pqrdot_5ad2694c,development,cpp,737,engine_restart,10,10,0,False,True,0.0001198697474444,accelerations/qdot-rad_sec2,0.0001135270082645,False,0.0,2.0,0.0173965206958608
B_turbine_windmill_2db8e408,development,cpp,737,engine_restart,10,10,0,False,True,3.9250525412653294,attitude/phi-rad,3.647717908336693,True,5.0,15.0,0.0001999600079984
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,engine_restart,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0173965206958608
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,engine_restart,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0173965206958608
