aircraft,manoeuvre,method,fault,n_outputs,n_oracle,recall_at3,recall_at5,ap,inspect_before_first,top_is_affected,n_flagged,any_correct_flag,reduction
c182,elev_step,regression,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.760227869825393,1,True,1,False,0.9545454545454546
c182,elev_step,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,2,True,0.9090909090909091
c182,elev_step,sig_dynamic,clo_+0.1,22,13,0.23076923076923078,0.23076923076923078,0.6809659912869012,1,True,1,True,0.9545454545454546
c182,elev_step,sig_dynamic,cmalpha_x0.7,22,13,0.15384615384615385,0.15384615384615385,0.6413416655319489,1,True,1,False,0.9545454545454546
c182,elev_step,sig_dynamic,cmq_x0.5,22,13,0.07692307692307693,0.23076923076923078,0.6408710748910796,2,False,3,True,0.8636363636363636
c182,elev_step,sig_dynamic,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,1,True,0.9545454545454546
c182,elev_step,sig_static,clo_+0.1,22,13,0.15384615384615385,0.23076923076923078,0.5742200067932385,2,False,1,True,0.9545454545454546
c182,elev_step,sig_static,cmalpha_x0.7,22,13,0.15384615384615385,0.23076923076923078,0.6339724259228903,2,False,0,False,1.0
c182,elev_step,sig_static,cmq_x0.5,22,13,0.07692307692307693,0.15384615384615385,0.492606503403717,2,False,1,True,0.9545454545454546
c182,elev_step,sig_static,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
c182,engine_stop,envelope,clo_+0.1,22,13,0.15384615384615385,0.15384615384615385,0.570589738117721,1,True,1,True,0.9545454545454546
c182,engine_stop,envelope,cmalpha_x0.7,22,13,0.07692307692307693,0.15384615384615385,0.4644013751985888,2,False,1,False,0.9545454545454546
c182,engine_stop,envelope,cmq_x0.5,22,13,0.07692307692307693,0.07692307692307693,0.4281154389126525,3,False,2,False,0.9090909090909091
c182,engine_stop,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,2,True,0.9090909090909091
c182,engine_stop,iforest,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.8168457861896775,1,True,22,True,0.0
c182,engine_stop,iforest,cmalpha_x0.7,22,13,0.15384615384615385,0.3076923076923077,0.6424040270015503,1,True,0,False,1.0
c182,engine_stop,iforest,cmq_x0.5,22,13,0.07692307692307693,0.15384615384615385,0.5256680840659169,3,False,0,False,1.0
c182,engine_stop,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
c182,engine_stop,ks,clo_+0.1,22,13,0.15384615384615385,0.3076923076923077,0.6495065478037614,1,True,3,True,0.8636363636363636
c182,engine_stop,ks,cmalpha_x0.7,22,13,0.07692307692307693,0.15384615384615385,0.4803647841930767,2,False,1,False,0.9545454545454546
c182,engine_stop,ks,cmq_x0.5,22,13,0.07692307692307693,0.15384615384615385,0.5276819671556513,1,True,1,False,0.9545454545454546
c182,engine_stop,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,5,True,0.7727272727272727
c182,engine_stop,regression,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8987203585887797,1,True,4,True,0.8181818181818181
c182,engine_stop,regression,cmalpha_x0.7,22,13,0.0,0.15384615384615385,0.48342426242223807,4,False,0,False,1.0
c182,engine_stop,regression,cmq_x0.5,22,13,0.07692307692307693,0.15384615384615385,0.4380700142518432,3,False,0,False,1.0
