fault,set,kind,aircraft,test_case,n_matched,n_cand,n_missing,structural,propagated,es1_max,es1_output,es_max,observable,n_observable_outputs,n_flag_05,min_p,n_correct_flags,n_flags,n_flags_on_changed,reach,revealed,revealed_any_change,flagged_without_change,qtg,signal_es1,condition
B_turbine_windmill_2db8e408,development,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872,0,0,0,True,False,False,False,True,False,no turbulence
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872,0,0,0,True,False,False,False,True,False,no turbulence
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872,0,0,0,False,False,False,False,True,False,no turbulence
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872,0,0,0,True,False,False,False,True,False,no turbulence
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872,0,0,0,True,False,False,False,True,False,no turbulence
B_elevator_drag_8819410c,development,model,737,bank_hold,10,10,0,False,True,0.0234836950239816,accelerations/udot-ft_sec2,0.0236212243113114,False,0.0,9.0,0.0027994401119776,0,5,5,True,False,True,False,True,False,no turbulence
B_ground_effect_9c058118,development,model,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,True,False,False,False,True,False,no turbulence
B_pqrdot_5ad2694c,development,cpp,737,bank_hold,10,10,0,False,True,0.0158787063393365,accelerations/rdot-rad_sec2,0.0155059784846298,False,0.0,5.0,0.0081983603279344,0,0,0,True,False,False,False,True,False,no turbulence
B_turbine_windmill_2db8e408,development,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,True,False,False,False,True,False,no turbulence
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,True,False,False,False,True,False,no turbulence
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,False,False,False,False,True,False,no turbulence
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,True,False,False,False,True,False,no turbulence
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344,0,0,0,True,False,False,False,True,False,no turbulence
B_elevator_drag_8819410c,development,model,737,flap_extend,10,10,0,False,True,0.0523660302991458,velocities/q-rad_sec,0.0322706756727617,False,0.0,4.0,0.003999200159968,0,2,2,True,False,True,False,True,False,no turbulence
B_ground_effect_9c058118,development,model,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,True,False,False,False,True,False,no turbulence
B_pqrdot_5ad2694c,development,cpp,737,flap_extend,10,10,0,False,True,0.4811056520647275,accelerations/pdot-rad_sec2,0.5192465526871186,False,0.0,1.0,0.0127974405118976,0,0,0,True,False,False,False,True,False,no turbulence
B_turbine_windmill_2db8e408,development,cpp,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,True,False,False,False,True,False,no turbulence
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,True,False,False,False,True,False,no turbulence
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,False,False,False,False,True,False,no turbulence
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,True,False,False,False,True,False,no turbulence
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,flap_extend,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.310737852429514,0,0,0,True,False,False,False,True,False,no turbulence
B_elevator_drag_8819410c,development,model,737,engine_cut,10,10,0,False,True,1.3628123434279469,attitude/psi-rad,2.010769257510675,True,7.0,20.0,0.0001999600079984,6,16,16,True,True,True,False,True,True,no turbulence
B_ground_effect_9c058118,development,model,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,True,False,False,False,True,False,no turbulence
B_pqrdot_5ad2694c,development,cpp,737,engine_cut,10,10,0,False,True,0.0302852448251889,accelerations/qdot-rad_sec2,0.031482007334041,False,0.0,0.0,0.2049590081983603,0,0,0,True,False,False,False,True,False,no turbulence
